bigg	name	super_class	class	sub_class
5dpmev	(S)-5-Diphosphomevalonic acid	Organic oxygen compounds	Organic oxoanionic compounds	Organic pyrophosphates
5flura	Fluorouracil	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
5flurimp	5-Fluorouridine monophosphate	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides
5forthf	5-Formiminotetrahydrofolic acid	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
5fthf	Folinic acid	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
5fthf	(6S)-5-formyltetrahydrofolate(2-)	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
5g2oxpt	2-Oxoarginine	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives
5hiu	5-Hydroxyisourate	Alkaloids and derivatives		
C11821	5-Hydroxyisourate	Alkaloids and derivatives		
5houdic	5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
houdic	5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
5hoxindact	5-Hydroxyindoleacetaldehyde	Organoheterocyclic compounds	Indoles and derivatives	Hydroxyindoles
5hxkynam	5-Hydroxykynurenamine	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
5mcsn	5-Methylcytosine	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
5mdru1p	5-Methylthioribulose 1-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
5moxact	5-Methoxyindoleacetate	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives
5mta	5'-Methylthioadenosine	Nucleosides, nucleotides, and analogues	5'-deoxyribonucleosides	5'-deoxy-5'-thionucleosides
5mthf	5-Methyltetrahydrofolic acid	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
5oxpro	Pyrrolidonecarboxylic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
5oxpro	5-Oxoprolinate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
5pmev	Mevalonic acid-5P	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
5prdmbz	N1-(5-Phospho-a-D-ribosyl)-5,6-dimethylbenzimidazole	Nucleosides, nucleotides, and analogues	Benzimidazole ribonucleosides and ribonucleotides	
6a2ohxnt	2-Keto-6-aminocaproate	Organic acids and derivatives	Keto acids and derivatives	Medium-chain keto acids and derivatives
6ampenc	6-Aminopenicillanic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
6apa	6-Aminopenicillanic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
6ax	Aminocaproic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
6dg	Melibiose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
6hch1eccoa	6-Hydroxycyclohex-1-ene-1-carboxyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
6hnac	6-Hydroxynicotinic acid	Organoheterocyclic compounds	Pyridines and derivatives	Pyridinecarboxylic acids and derivatives
6mpur	Mercaptopurine	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives
6occhcoa	6-Oxocyclohex-1-ene-1-carboxyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
6pgc	6-Phosphogluconic acid	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
6pgc	6-phosphonatooxy-D-gluconate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
6pgl	6-Phosphonoglucono-D-lactone	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
6pgl	6-O-phosphonato-D-glucono-1,5-lactone(2-)	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
6tgsnmp	6-Thioguanosine monophosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
6tgsnmp	6-Thioguanylic acid	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
6tins5mp	6-Thioinosine-5'-monophosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
6txan5mp	6-Thioxanthine 5'-monophosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
B_ara1p	Beta-L-arabinose 1-phosphate	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
C01601	Pelargonic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
nona	Pelargonic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
C02147	Dihydrolipoate	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
C02356	L-alpha-Aminobutyric acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
C02442	N-Methyltyramine	Benzenoids	Benzene and substituted derivatives	Phenethylamines
C02470	Xanthurenic acid	Organoheterocyclic compounds	Quinolines and derivatives	Quinoline carboxylic acids
C02528	Chenodeoxycholic acid	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
C02744	Psychosine sulfate	Lipids and lipid-like molecules	Sphingolipids	Glycosphingolipids
C03413	N1,N12-Diacetylspermine	Organic acids and derivatives	Carboximidic acids and derivatives	Carboximidic acids
C03413	N(1),N(12)-diacetylsperminium(2+)	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives
C03577	20-Hydroxy-leukotriene E4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
C03693	D-Mannose 1,6-bisphosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
C03958	Thyrotropin releasing hormone	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
C04051	5-Aminoimidazole-4-carboxamide	Organoheterocyclic compounds	Azoles	Imidazoles
C04843	(5Z,9E,12S,14Z)-8,11,12-Trihydroxyicosa-5,9,14-trienoate	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
C04849	(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoic Acid	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
C05284	11b-Hydroxyandrost-4-ene-3,17-dione	Lipids and lipid-like molecules	Steroids and steroid derivatives	Androstane steroids
C05298	2-Hydroxyestrone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Estrane steroids
C05299	2-Methoxyestrone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Estrane steroids
C05300	16a-Hydroxyestrone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Estrane steroids
C05301	2-Hydroxyestradiol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Estrane steroids
C05708	Selenomethionine se-oxide	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
C05957	Prostaglandin J2	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
C06199	Hordenine	Benzenoids	Benzene and substituted derivatives	Phenethylamines
C06314	Lipoxin A4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
C06315	Lipoxin B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
C06350	(R,S)-Norlaudanosoline	Organoheterocyclic compounds	Isoquinolines and derivatives	Benzylisoquinolines
C06453	Methylcobalamin	Organic compounds	Organoheterocyclic compounds	Tetrapyrroles and derivatives
C06948	Diazepam	Organoheterocyclic compounds	Benzodiazepines	1,4-benzodiazepines
C07486	Nordiazepam	Organoheterocyclic compounds	Benzodiazepines	1,4-benzodiazepines
C07535	Benzo[a]pyrene	Benzenoids	Pyrenes	Benzopyrenes
C09209	Harman	Alkaloids and derivatives	Harmala alkaloids	
C09640	(-)-Salsoline	Organoheterocyclic compounds	Tetrahydroisoquinolines	
C09642	Salsolinol	Organoheterocyclic compounds	Tetrahydroisoquinolines	
C11304	S-(PGA1)-glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
C11695	Anandamide	Organic nitrogen compounds	Organonitrogen compounds	Amines
C13856	2-Arachidonylglycerol	Lipids and lipid-like molecules	Endocannabinoids	
C14768	5,6-Epoxy-8,11,14-eicosatrienoic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
C14769	8,9-Epoxyeicosatrienoic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
C14771	14,15-Epoxy-5,8,11-eicosatrienoic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
C14825	9,10-Epoxyoctadecenoic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
C14849	Benzo[a]pyrene-9,10-oxide	Benzenoids	Pyrenes	
C14851	Benzo[a]pyrene-4,5-oxide	Benzenoids	Phenanthrenes and derivatives	Chrysenes
CE0074	Alloxan	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives
CE0233	5beta-Cholestane-3alpha,7alpha,27-triol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholestane steroids
CE0347	12S-hydroxy-5E,8Z,10Z,14Z-eicosatetraenoic acid	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE0737	Malondialdehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
CE0955	6-Keto-prostaglandin F1a	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE1059	N1,N8-Diacetylspermidine	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives
CE1102	cis-(3S)-hydroxytetradec-7-enoyl-CoA	Benzenoids	Naphthalenes	Chloronaphthalenes
CE1243	12S-HHT	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
CE1274	3alpha,7alpha,12alpha,25-Tetrahydroxy-5beta-cholestane-24-one	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
CE1277	5beta-cholestane-3alpha,7alpha,12alpha,23,25-pentol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
CE1294	27alpha-Hydroxy-8-dehydrocholesterol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
CE1298	3beta-Hydroxy-5-cholestenal	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
CE1401	Homocysteine thiolactone	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE1447	11-Dehydro-thromboxane B2	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE1554	N-Acetyl-L-alanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE1589	Deoxycholoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE1617	9-cis-Retinoic acid	Lipids and lipid-like molecules	Prenol lipids	Retinoids
CE1617	9,13-cis-Retinoic acid	Lipids and lipid-like molecules	Prenol lipids	Retinoids
CE1787	L-Aspartic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5868	L-Aspartic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
asp__L	L-Aspartic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE1787	1-deoxy-1-(N6-lysino)-D-fructose	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5868	1-deoxy-1-(N6-lysino)-D-fructose	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
asp__L	1-deoxy-1-(N6-lysino)-D-fructose	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE1787	N-acetyl-seryl-aspartate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE5868	N-acetyl-seryl-aspartate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
asp__L	N-acetyl-seryl-aspartate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE1918	5-Hydroxytryptophol	Organoheterocyclic compounds	Indoles and derivatives	Hydroxyindoles
CE1925	3'-carboxy-alpha-chromanol	Organoheterocyclic compounds	Benzopyrans	1-benzopyrans
CE1936	Spermine dialdehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
CE1937	Spermic acid 1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE1941	Isoputreanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE1944	1-Pyrrolinium	Organoheterocyclic compounds	Pyrrolines	
CE2006	4-Hydroxynonenal	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols
CE2011	Hypothiocyanite	Organosulfur compounds	Thiocyanates	
CE2020	N-Arachidonoyl glycine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2020	N-arachidonoylglycinate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2028	3-Hydroxyisovaleric acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
CE2047	9,10-DHOME	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
CE2053	20-oxo-leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE2056	20-dihydroxyleukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE2065	Acetylcarnosine	Organic acids and derivatives	Peptidomimetics	Hybrid peptides
CE2072	Putreanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2084	5-KETE	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
CE2102	Lipoyllysine	Organoheterocyclic compounds	Dithiolanes	Lipoamides
CE2122	Indole-3-methyl acetate	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives
CE2152	1,2,3,4-Tetrahydro-beta-carboline	Organoheterocyclic compounds	Indoles and derivatives	Pyridoindoles
CE2173	N-methyl-4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline	Organoheterocyclic compounds	Tetrahydroisoquinolines	
CE2174	4,6,7-Trihydroxy-1,2,3,4-tetrahydroisoquinoline	Organoheterocyclic compounds	Tetrahydroisoquinolines	
CE2176	3-O-Methyl-a-methyldopa	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2180	4-Hydroxyestrone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Estrane steroids
CE2184	2-Hydroxy-3-methoxyestrone	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives
CE2186	4-Methoxy-17beta-estradiol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Estrane steroids
CE2189	4-Methoxyestrone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Estrane steroids
CE2196	(R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline	Organoheterocyclic compounds	Tetrahydroisoquinolines	
CE2201	23S,25-dihydroxyvitamin D3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Vitamin D and derivatives
CE2202	23S,25,26-Trihydroxyvitamin D3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Vitamin D and derivatives
CE2203	25-Hydroxyvitamin D3-26,23-lactol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Vitamin D and derivatives
CE2204	25-Hydroxyvitamin D3-26,23-lactone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Vitamin D and derivatives
CE2206	24-Oxo-1alpha,25-dihydroxyvitamin D3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Vitamin D and derivatives
CE2207	24-Oxo-1alpha,23,25-trihydroxyvitamin D3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Vitamin D and derivatives
CE2209	Dihydroandrosterone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Androstane steroids
CE2211	Allopregnanolone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Pregnane steroids
CE2211	Alloepipregnanolone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Pregnane steroids
CE2242	(2E)-Docosenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE2246	3-Hydroxydocosanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE2248	3-hydroxyoctadecanoyl-CoA	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls
CE2249	3-Hydroxytetracosanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE2250	3-Oxodocosanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE2251	3-Oxoicosanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE2251	3-Oxoeicosanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE2253	3-Oxotetracosanoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE2303	9-Hydroxy-10-O-D-glucuronoside-12Z-octadecenoate	Lipids and lipid-like molecules	Saccharolipids	
CE2304	10-Hydroxy-octadec-12Z-enoate-9-beta-D-glucuronide	Lipids and lipid-like molecules	Saccharolipids	
CE2305	12-Hydroxy-13-O-D-glucuronoside-octadec-9Z-enoate	Lipids and lipid-like molecules	Saccharolipids	
CE2306	12-O-D-Glucuronoside-13-hydroxyoctadec-9Z-enoate	Lipids and lipid-like molecules	Saccharolipids	
CE2313	4,4-Dimethylcholesta-8(9),14-dien-3beta-ol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cholestane steroids
CE2314	4,4-Dimethyl-5a-cholesta-8-en-3b-ol	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids
CE2418	(3S)-3-Hydroxy-cis,cis-palmito-7,10-dienoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE2420	(3S)-3-Hydroxydodec-cis-6-enoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE2421	(3S)-3-Hydroxylinoleoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE2445	6-trans-Leukotriene B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE2516	8,11,14-Eicosatrienoic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
CE2565	15R-hydroxy-5Z,8Z,11Z,13E-eicosatetraenoic acid	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE2568	15-Epi-lipoxin A4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE2576	4-Hydroperoxy-2-nonenal	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
CE2577	4-Oxo-2-nonenal	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
CE2592	(S)-3-hydroxypalmitoleoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE2597	3(S)-3-hydroxydodecen-(5Z)-oyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE2754	Reverse-triiodthyronine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
HC02187	Reverse-triiodthyronine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2838	Maltononaose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
CE2839	Maltodecaose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
CE2847	Fructoseglycine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2858	Dynorphin A 1-8	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2863	Neurotensin 11-13	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2872	3,5-Dimethoxybenzaldehyde	Benzenoids	Benzene and substituted derivatives	Methoxybenzenes
CE2874	3'-monoiodo-L-thyronine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2875	3'-Monoiodo-L-thyronine 4'-O-sulfate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2876	3',5'-Diiodo-L-thyronine-beta-D-glucuronoside	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2890	Dynorphin A (6-8)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2891	Dynorphin B	Organic Polymers	Polypeptides	
CE2916	Neocasomorphin	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE2917	Apelin-13	Organic Polymers	Polypeptides	
CE2934	2-Methylhippuric acid	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives
CE2947	Xanthurenate-8-O-beta-D-glucoside	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
CE2953	rac-5,6-Epoxy-retinoate	Lipids and lipid-like molecules	Prenol lipids	Retinoids
CE2955	all-trans-3,4-Didehydroretinoate	Lipids and lipid-like molecules	Prenol lipids	Retinoids
CE2958	rac-5,6-Epoxy-retinoyl-beta-D-glucuronide	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides
CE2961	4-Hydroxy-all-trans-retinyl acetate	Lipids and lipid-like molecules	Prenol lipids	Retinoids
CE2962	rac-4-Hydroxy-4-O-(beta-D-glucuronide)-all-trans-retinyl acetate	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides
CE3038	3beta,7alpha-Dihydroxy-5-cholestenoate	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
CE3075	sorbitol 3-phosphate	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
CE3086	4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid O-glucoside	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
CE3087	Beta-Carboline	Organoheterocyclic compounds	Indoles and derivatives	Pyridoindoles
CE3140	1-(1,2,3,4,5-Pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate	Alkaloids and derivatives	Harmala alkaloids	
CE3481	1-Lyso-2-arachidonoyl-phosphatidate	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates
CE3554	20-Trihydroxy-leukotriene-B4	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids
CE4633	Hypochlorite	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal hypochlorites
CE4633	HClO	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal hypochlorites
CE4722	beta-Casomorphin (1-6)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE4723	Neocasomorphin (1-5)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE4724	Apelin (1-12)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE4753	Dynorphin B (10-13)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE4754	Dynorphin B (6-9)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
CE4816	2-trans-9,12,15,18,21-all-cis-Tetracosahexaenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4817	3(S)-Hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4818	3(S)-Hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4819	3-Oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4820	3-oxo-all-cis-6,9,12,15,18-Tetracosapentaenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4821	2-trans-7,10,13,16,19-all-cis-Docosahexaenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4824	Tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4830	2-trans-9,12,15,18-all-cis-Tetracosapentaenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4831	3(S)-Hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4833	3-Oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4834	3-Oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4835	2E,7Z,10Z,13Z,16Z-Docosapentaenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4837	Tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4840	(3S)-Hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4841	3-Oxoeicosa-cis,cis-11,14-dienoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4842	trans,cis,cis-2,11,14-Eicosatrienoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4843	cis,cis-11,14-Eicosadienoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4844	3(S)-Hydroxy-10,13,16-all-cis-docosatrienoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4845	3-Oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4846	trans,cis,cis,cis-2,10,13,16-Docosatetraenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4847	cis,cis,cis-10,13,16-Docosatrienoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4848	3(S)-Hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4849	3(S)-Hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4850	3-Oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4851	3-Oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
CE4852	trans,cis,cis,cis,cis-2,10,13,16,19-Docosapentaenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
